No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
1818,50.8974,117.7139,110.7149,108.0474,300.3550, ,1.79263
1819,50.9144,123.3785,110.6854,107.9801,300.3550, ,1.79207
1820,50.9314,113.7170,110.6575,107.9137,300.3550, ,1.79152
1821,50.9484,119.1325,110.6313,107.8480,300.3550, ,1.79096
1822,50.9654,126.4308,110.6068,107.7833,300.3550, ,1.79040
1823,50.9824,104.8610,110.5840,107.7194,300.3550, ,1.78984
1824,50.9994,102.4575,110.5629,107.6563,300.3550, ,1.78929
1825,51.0164,108.9940,110.5436,107.5940,300.3550, ,1.78873
1826,51.0334,113.7782,110.5260,107.5325,300.3550, ,1.78818
1827,51.0504,114.1772,110.5103,107.4718,300.3550, ,1.78762
1828,51.0674,114.3914,110.4963,107.4119,300.3550, ,1.78706
1829,51.0844,117.5770,110.4842,107.3529,300.3550, ,1.78651
1830,51.1014,119.1949,110.4740,107.2945,300.3550, ,1.78596
1831,51.1184,111.9848,110.4656,107.2370,300.3550, ,1.78540
1832,51.1354,94.2866,110.4591,107.1802,300.3550, ,1.78485
1833,51.1524,90.2582,110.4546,107.1242,300.3550, ,1.78429
1834,51.1694,105.3913,110.4521,107.0689,300.3550, ,1.78374
1835,51.1864,115.4558,110.4515,107.0144,300.3550, ,1.78319
1836,51.2034,124.7430,110.4530,106.9606,300.3550, ,1.78264
1837,51.2204,111.3935,110.4566,106.9075,300.3550, ,1.78209
1838,51.2374,102.7774,110.4622,106.8552,300.3550, ,1.78153
1839,51.2544,109.5560,110.4700,106.8035,300.3550, ,1.78098
1840,51.2714,115.8875,110.4800,106.7526,300.3550, ,1.78043
1841,51.2884,113.8302,110.4923,106.7023,300.3550, ,1.77988
1842,51.3054,112.9938,110.5068,106.6528,300.3550, ,1.77933
1843,51.3224,107.2168,110.5236,106.6039,300.3550, ,1.77878
1844,51.3394,100.9620,110.5427,106.5557,300.3550, ,1.77823
1845,51.3564,122.3533,110.5643,106.5082,300.3550, ,1.77768
1846,51.3734,98.8006,110.5884,106.4614,300.3550, ,1.77714
1847,51.3904,113.7771,110.6150,106.4152,300.3550, ,1.77659
1848,51.4074,112.3727,110.6442,106.3696,300.3550, ,1.77604
1849,51.4244,138.0079,110.6760,106.3247,300.3550, ,1.77549
1850,51.4414,128.6368,110.7106,106.2804,300.3550, ,1.77495
1851,51.4584,124.1389,110.7479,106.2368,300.3550, ,1.77440
1852,51.4754,111.2689,110.7881,106.1937,300.3550, ,1.77385
1853,51.4924,119.9776,110.8312,106.1513,300.3550, ,1.77331
1854,51.5094,136.4088,110.8773,106.1095,300.3550, ,1.77276
1855,51.5264,99.7061,110.9266,106.0683,300.3550, ,1.77222
1856,51.5434,119.8433,110.9790,106.0277,300.3550, ,1.77167
1857,51.5604,116.1865,111.0347,105.9877,300.3550, ,1.77113
1858,51.5774,106.1769,111.0938,105.9482,300.3550, ,1.77059
1859,51.5944,116.1666,111.1564,105.9093,300.3550, ,1.77004
1860,51.6114,93.4971,111.2225,105.8711,300.3550, ,1.76950
1861,51.6284,111.9938,111.2924,105.8333,300.3550, ,1.76896
1862,51.6454,109.2291,111.3661,105.7961,300.3550, ,1.76841
1863,51.6624,98.1214,111.4437,105.7595,300.3550, ,1.76787
1864,51.6794,117.4287,111.5254,105.7234,300.3550, ,1.76733
1865,51.6964,113.1442,111.6114,105.6878,300.3550, ,1.76679
1866,51.7134,107.1077,111.7017,105.6528,300.3550, ,1.76625
1867,51.7304,109.0744,111.7966,105.6183,300.3550, ,1.76571
1868,51.7474,103.2752,111.8962,105.5843,300.3550, ,1.76517
1869,51.7644,110.8595,112.0006,105.5509,300.3550, ,1.76463
1870,51.7814,120.5297,112.1102,105.5179,300.3550, ,1.76409
1871,51.7984,103.3941,112.2249,105.4854,300.3550, ,1.76355
1872,51.8154,110.6927,112.3452,105.4534,300.3550, ,1.76301
1873,51.8324,112.4000,112.4711,105.4220,300.3550, ,1.76247
1874,51.8494,117.3545,112.6029,105.3910,300.3550, ,1.76194
1875,51.8664,115.7245,112.7410,105.3604,300.3550, ,1.76140
1876,51.8834,113.9975,112.8854,105.3304,300.3550, ,1.76086
1877,51.9004,114.5165,113.0366,105.3008,300.3550, ,1.76032
1878,51.9174,106.2631,113.1947,105.2716,300.3550, ,1.75979
1879,51.9344,104.9147,113.3602,105.2430,300.3550, ,1.75925
1880,51.9514,111.4840,113.5333,105.2147,300.3550, ,1.75872
1881,51.9684,116.8135,113.7145,105.1869,300.3550, ,1.75818
1882,51.9854,112.0095,113.9039,105.1596,300.3550, ,1.75765
1883,52.0024,98.3795,114.1022,105.1326,300.3550, ,1.75711
1884,52.0194,106.7614,114.3097,105.1061,300.3550, ,1.75658
